ID в ИС ГТИБД,Название,Название (англ.),Адрес,Телефоны,Сайт,Электронная почта,Кухня,Доступно для людей с ограниченными возможностями,Геопозиция
6093,Антикафе 12 комнат,Timecafe 12 komnat,"Санкт-Петербург, ул. Большая Морская, 19",7 (812) 923-70-96,http://12komnat.com/,TWELVEROOMSSPB@GMAIL.COM,,нет,"59.934686,30.314718"
6095,FD Антикафе,FD timeclub,"Санкт-Петербург, Невский проспект, дом 11",+7 (812) 418-23-81,vk.com/fdfree,contact@fdfree.ru,,нет,"59.936282,30.316057"
6099,Антикафе Квартира 55,Timecafe Kvartirka,"Санкт-Петербург, ул. Оптиков, 38, корп.1",618-28-55,http://vk.com/familyanticafe55,,,нет,"59.999984,30.212032"
6102,"Антикафе ""МЕЧТА.TV""",Timecafe Mechta TV,"Санкт-Петербург, пр.Тореза, д. 95",+7(911) 755-64-78+7(812) 384-64-95,Https://vk.com/me4tatv,,,Нет,"60.009651,30.346932"
6103,"Антикафе ""Свободное время""",Timecafe Svobodnoe vremya,"Санкт-Петербург, 1-ая линия В.О., д.14",994-58-99,http://vk.com/anticafespb,,,нет,"59.940343,30.291596"
6106,"Антикафе ""Часы не спешат""",Timecafe Chasy ne speshat,"Санкт-Петербург, ул. Жуковского, 5",+7 (812) 273-10-28,http://chasynespeshat.ru/ http://vk.com/chasynespeshat,chasynespeshat@yandex.ru,,нет,"59.935574,30.350768"
6108,Freak-zone,Steampunk timecafe,"Санкт-Петербург, ул. 1-я Советская, 4",244-68-26,http://vk.com/freak_zone,freak.zone.spb@gmail.com,,нет,"59.931625,30.363191"
6120,"Свободное пространство ""Циферблат""",Timecafe Tchiferblat,"Санкт-Петербург, Невский проспект, д. 81",7 (960) 285-69-46,http://ziferblat.net/,clockface.spb@gmail.com,,нет,"59.930818,30.359553"
6121,"Антикафе ""Цифербург""",Timecafe Tchiferburg,"Санкт-Петербург,  набережная реки Фонтанки, 20",7 (981) 180 70 22,http://vk.com/ziferburg,,,нет,"59.935263,30.33458"
6122,"Тайм-кафе ""Миракл""",Timecafe Miracle,"Санкт-Петербург, Мошков пер., 4",570-13-14,http://www.itsamiracle.ru/,,,нет,"59.943372,30.321806"
6124,Интернет-кафе 59'57',Internet Cafe 59'57',"м. Достоевская, ул. Разъезжая д.1",+7 (812) 400-12-29,,,,нет,"55.756143,52.056005"
6129,Интернет-клуб Золотая Середина,Zolotaya Seredina Internet Club,"м. Садовая/м.Сенная, ул. Гражданская, 16",+7 (812) 571–00–02,,ccclab@mail.ru,,нет,"56.13284,47.221551"
6134,Интернет-клуб Strike,Strike Internet Club,"м. Озерки, пр. Художников, 14","7 (812) 318-38-23
 7 (812) 510-67-51",,strike@yandex.ru,,нет,"60.038375,30.344596"
